scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 102, 59941, 29, 3391
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 0, 29, 135, 29, 895
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 30, 114, 30, 874
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 42, 4059, 541298, 75, 5542
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 4, 543, 96462, 34, 1811
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 0, 30, 59, 30, 824
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 0, 29, 57, 29, 909
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 43, 43, 43, 1117
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 45, 45, 45, 847
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 29, 29, 29, 679
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 46, 46, 46, 1255
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 125, 125, 125, 2219
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 35, 0, 35, 1223
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 29, 0, 29, 957
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 61, 0, 61, 1632
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 31, 0, 31, 733
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 45, 0, 45, 1592
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 97, 0, 97, 2666
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 38, 0, 38, 1571
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 55, 0, 55, 2223
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 29, 0, 29, 1208
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 36, 0, 36, 1839
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 46, 4570, 31, 1107
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 0, 29, 429, 29, 1665
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 15, 1198, 288446, 44, 2878
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 30, 114, 30, 821
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 8, 943, 150929, 36, 2407
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 19, 819, 31187, 51, 1899
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 6, 278, 9924, 35, 1241
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 38, 1610, 62556, 71, 3082
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 30, 30, 30, 979
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 48, 48, 48, 999
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 29, 29, 29, 1161
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 29, 29, 29, 1049
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 38, 38, 38, 1200
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 56, 0, 56, 1563
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 42, 0, 42, 1235
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 32, 0, 32, 1243
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 63, 0, 63, 2360
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 58, 0, 58, 1590
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 40, 0, 40, 1702
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 41, 0, 41, 1865
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 29, 0, 29, 1728
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 29, 0, 29, 1226
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 36, 0, 36, 1522
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 0, 30, 465, 30, 1563
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 5, 4081, 9172238, 35, 8794
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 5, 1716, 1328441, 36, 4284
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 4, 503, 82030, 33, 1738
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 99, 3932, 149539, 154, 3740
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 7, 316, 11285, 36, 1133
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 22, 208, 1229, 54, 1272
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 133, 133, 133, 1220
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 57, 57, 57, 676
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 29, 29, 29, 544
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 55, 55, 55, 1106
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 36, 36, 36, 629
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 34, 0, 34, 633
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 111, 0, 111, 957
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 29, 0, 29, 643
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 33, 0, 33, 891
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 34, 0, 34, 861
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 30, 0, 30, 825
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 46, 0, 46, 1693
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 48, 0, 48, 2407
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 34, 0, 34, 2003
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 30, 0, 30, 1930
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 38, 7622, 31, 1316
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 29, 299, 29, 1369
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 0, 30, 165, 30, 945
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 29, 110, 29, 875
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 35, 3973, 637644, 68, 5667
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 1, 170, 28913, 29, 1241
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 29, 57, 29, 720
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 49, 2029, 77115, 89, 2962
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 194, 194, 194, 2039
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 51, 51, 51, 861
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 40, 40, 40, 819
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 41, 41, 41, 982
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 29, 29, 29, 816
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 34, 0, 34, 701
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 73, 0, 73, 2314
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 31, 0, 31, 1260
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 66, 0, 66, 2502
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 31, 0, 31, 1209
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 31, 0, 31, 1316
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 65, 0, 65, 2222
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 29, 0, 29, 1376
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 30, 0, 30, 982
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 30, 0, 30, 1507
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 239, 777779, 29, 6965
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 30, 312, 30, 1223
dyngrid, 0.06, 0.9880, SOLVE_P, 0.90, 0, 29, 204, 29, 1046
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 6, 1087, 492544, 35, 3907
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 0, 31, 145, 31, 929
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 29, 110, 29, 806
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 21, 1142, 79745, 50, 2710
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 29, 57, 29, 689
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 76, 3098, 116531, 131, 3428
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 14, 611, 22529, 51, 1566
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 29, 29, 29, 898
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 29, 29, 29, 794
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 135, 135, 135, 2120
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 42, 42, 42, 1332
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 33, 33, 33, 1204
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 44, 0, 44, 1213
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 40, 0, 40, 1485
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 29, 0, 29, 1356
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 77, 0, 77, 1886
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 51, 0, 51, 1759
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 36, 0, 36, 1264
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 59, 0, 59, 1901
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 57, 0, 57, 1708
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 29, 0, 29, 1445
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 72, 0, 72, 2865
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 0, 29, 435, 29, 1838
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 0, 29, 159, 29, 909
