
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.12, 0.9760, SOLVE_F, 0.90, 0, 29, 110, 29, 793
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 5, 234, 8087, 34, 834
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 12, 524, 19335, 44, 1146
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 64, 2599, 99763, 105, 2204
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 30, 30, 30, 513
dyngrid, 0.32, 0.9360, SOLVE_F, 0.90, 0, 30, 30, 30, 540
dyngrid, 0.37, 0.9260, SOLVE_F, 0.90, 0, 34, 34, 34, 471
dyngrid, 0.42, 0.9160, SOLVE_F, 0.90, 0, 33, 33, 33, 522
dyngrid, 0.47, 0.9060, SOLVE_F, 0.90, 0, 127, 127, 127, 1400
dyngrid, 0.52, 0.8960, SOLVE_F, 0.90, 0, 39, 0, 39, 1244
dyngrid, 0.57, 0.8860, SOLVE_F, 0.90, 0, 34, 0, 34, 635
dyngrid, 0.62, 0.8760, SOLVE_F, 0.90, 0, 43, 0, 43, 986
dyngrid, 0.67, 0.8660, SOLVE_F, 0.90, 0, 31, 0, 31, 732
dyngrid, 0.72, 0.8560, SOLVE_F, 0.90, 0, 36, 0, 36, 635
dyngrid, 0.77, 0.8460, SOLVE_F, 0.90, 0, 45, 0, 45, 976
dyngrid, 0.82, 0.8360, SOLVE_F, 0.90, 0, 107, 0, 107, 1908
dyngrid, 0.87, 0.8260, SOLVE_F, 0.90, 0, 34, 0, 34, 1024
dyngrid, 0.92, 0.8160, SOLVE_F, 0.90, 0, 45, 0, 45, 1091
dyngrid, 0.97, 0.8060, SOLVE_F, 0.90, 0, 55, 0, 55, 1180
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 0, 29, 435, 29, 1066
dyngrid, 0.08, 0.9840, SOLVE_F, 0.90, 0, 29, 159, 29, 797
dyngrid, 0.10, 0.9800, SOLVE_F, 0.90, 0, 29, 135, 29, 715
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 7, 319, 11542, 36, 1041
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 2, 97, 1999, 35, 733
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 10, 424, 15138, 43, 944
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 91, 91, 91, 1001
dyngrid, 0.32, 0.9360, SOLVE_F, 0.90, 0, 38, 38, 38, 591
dyngrid, 0.37, 0.9260, SOLVE_F, 0.90, 0, 45, 45, 45, 930
dyngrid, 0.42, 0.9160, SOLVE_F, 0.90, 0, 29, 29, 29, 515
dyngrid, 0.47, 0.9060, SOLVE_F, 0.90, 0, 45, 45, 45, 782
dyngrid, 0.52, 0.8960, SOLVE_F, 0.90, 0, 29, 0, 29, 481
dyngrid, 0.57, 0.8860, SOLVE_F, 0.90, 0, 46, 0, 46, 628
dyngrid, 0.62, 0.8760, SOLVE_F, 0.90, 0, 30, 0, 30, 508
dyngrid, 0.67, 0.8660, SOLVE_F, 0.90, 0, 63, 0, 63, 796
dyngrid, 0.72, 0.8560, SOLVE_F, 0.90, 0, 29, 0, 29, 678
dyngrid, 0.77, 0.8460, SOLVE_F, 0.90, 0, 49, 0, 49, 636
dyngrid, 0.82, 0.8360, SOLVE_F, 0.90, 0, 44, 0, 44, 539
dyngrid, 0.87, 0.8260, SOLVE_F, 0.90, 0, 38, 0, 38, 725
dyngrid, 0.92, 0.8160, SOLVE_F, 0.90, 0, 39, 0, 39, 778
dyngrid, 0.97, 0.8060, SOLVE_F, 0.90, 0, 51, 0, 51, 994
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 1, 9, 256, 32, 569
dyngrid, 0.02, 0.9960, SOLVE_F, 0.90, 0, 30, 455, 30, 1097
dyngrid, 0.08, 0.9840, SOLVE_F, 0.90, 0, 29, 159, 29, 764
