dyngrid, 0.08, 0.9840, SOLVE_F, 0.90, 0, 7747, 15064, 500, 10110, timeout
dyngrid, 0.10, 0.9800, SOLVE_F, 0.90, 0, 7450, 13820, 500, 10128, timeout
dyngrid, 0.12, 0.9760, SOLVE_F, 0.90, 0, 10573, 15976, 500, 10108, timeout
dyngrid, 0.14, 0.9720, SOLVE_F, 0.90, 0, 4865, 6384, 81, 4532, ontime
dyngrid, 0.16, 0.9680, SOLVE_F, 0.90, 0, 501, 709, 25, 1715, ontime
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 0, 1445, 1765, 105, 2293, ontime
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 0, 5717, 6618, 195, 4526, ontime
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 0, 1349, 1641, 94, 2136, ontime
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 89, 89, 89, 1524, ontime
dyngrid, 0.32, 0.9360, SOLVE_F, 0.90, 0, 88, 88, 88, 1199, ontime
dyngrid, 0.37, 0.9260, SOLVE_F, 0.90, 0, 70, 70, 70, 1125, ontime
dyngrid, 0.42, 0.9160, SOLVE_F, 0.90, 0, 19, 19, 19, 699, ontime
dyngrid, 0.47, 0.9060, SOLVE_F, 0.90, 0, 130, 130, 130, 2107, ontime
dyngrid, 0.52, 0.8960, SOLVE_F, 0.90, 0, 53, 0, 53, 1249, ontime
dyngrid, 0.57, 0.8860, SOLVE_F, 0.90, 0, 39, 0, 39, 1200, ontime
dyngrid, 0.62, 0.8760, SOLVE_F, 0.90, 0, 27, 0, 27, 857, ontime
dyngrid, 0.67, 0.8660, SOLVE_F, 0.90, 0, 37, 0, 37, 1169, ontime
dyngrid, 0.72, 0.8560, SOLVE_F, 0.90, 0, 93, 0, 93, 2503, ontime
dyngrid, 0.77, 0.8460, SOLVE_F, 0.90, 0, 51, 0, 51, 2088, ontime
dyngrid, 0.82, 0.8360, SOLVE_F, 0.90, 0, 23, 0, 23, 1004, ontime
dyngrid, 0.87, 0.8260, SOLVE_F, 0.90, 0, 32, 0, 32, 1408, ontime
dyngrid, 0.92, 0.8160, SOLVE_F, 0.90, 0, 68, 0, 68, 1099, ontime
dyngrid, 0.97, 0.8060, SOLVE_F, 0.90, 0, 19, 0, 19, 1050, ontime
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 1, 64, 273, 25, 957, ontime
dyngrid, 0.02, 0.9960, SOLVE_F, 0.90, 1, 146, 633, 24, 1511, ontime
dyngrid, 0.04, 0.9920, SOLVE_F, 0.90, 0, 21, 195, 21, 966, ontime
dyngrid, 0.06, 0.9880, SOLVE_F, 0.90, 0, 4934, 12552, 500, 10103, timeout
dyngrid, 0.08, 0.9840, SOLVE_F, 0.90, 0, 2976, 5987, 24, 5122, ontime
dyngrid, 0.10, 0.9800, SOLVE_F, 0.90, 0, 7931, 13969, 500, 10111, timeout
dyngrid, 0.12, 0.9760, SOLVE_F, 0.90, 0, 4467, 6696, 47, 4451, ontime
dyngrid, 0.14, 0.9720, SOLVE_F, 0.90, 0, 11814, 15482, 164, 7300, ontime
