scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 45, 0, 45, 1755
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 0, 29, 435, 29, 1296
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 0, 29, 429, 29, 1355
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 0, 30, 140, 30, 745
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 84, 9379, 12839, 123, 7916
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 19, 810, 954, 50, 1285
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 0, 31, 61, 31, 736
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 104, 4316, 4991, 156, 3795
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 36, 36, 36, 905
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 89, 89, 89, 1162
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 29, 29, 29, 792
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 30, 30, 30, 782
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 29, 29, 29, 834
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 29, 0, 29, 708
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 168, 0, 168, 2683
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 29, 0, 29, 1028
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 33, 0, 33, 1185
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 87, 0, 87, 2416
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 40, 0, 40, 2023
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 41, 0, 41, 1461
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 54, 0, 54, 1359
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 51, 0, 51, 1142
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 30, 0, 30, 725
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 0, 29, 435, 29, 1382
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 5, 2666, 5247, 32, 4279
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 0, 30, 140, 30, 764
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 29, 110, 29, 630
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 32, 3642, 5004, 65, 3880
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 37, 4275, 5878, 70, 5460
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 168, 6955, 8029, 235, 5044
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 90, 3738, 4325, 138, 2962
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 41, 1724, 2012, 84, 2282
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 78, 78, 78, 1268
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 30, 30, 30, 925
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 109, 109, 109, 1761
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 31, 31, 31, 718
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 53, 53, 53, 1017
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 29, 0, 29, 1091
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 95, 0, 95, 2384
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 29, 0, 29, 805
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 33, 0, 33, 1143
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 29, 0, 29, 1101
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 29, 0, 29, 1297
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 39, 0, 39, 862
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 48, 0, 48, 1675
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 29, 0, 29, 1446
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 41, 0, 41, 1377
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 31, 147, 31, 684
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 0, 29, 429, 29, 1200
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 30, 312, 30, 1018
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 18, 6315, 11646, 43, 7576
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 29, 110, 29, 629
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 130, 5746, 7971, 163, 5105
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 15, 1697, 2368, 44, 2414
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 53, 2247, 2611, 100, 2098
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 50, 2108, 2445, 88, 2126
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 115, 3756, 4506, 176, 3527
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 83, 83, 83, 982
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 58, 58, 58, 1126
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 51, 51, 51, 1120
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 31, 31, 31, 845
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 75, 75, 75, 1593
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 34, 0, 34, 940
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 40, 0, 40, 1302
