scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 126, 126, 126, 1204, ontime
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 36, 36, 36, 926, ontime
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 79, 0, 79, 1674, ontime
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 26, 0, 26, 870, ontime
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 21, 0, 21, 974, ontime
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 84, 0, 84, 1760, ontime
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 22, 0, 22, 926, ontime
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 48, 0, 48, 1422, ontime
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 24, 0, 24, 954, ontime
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 23, 0, 23, 1141, ontime
dyngrid, 0.92, 0.8160, SOLVE_M, 0.90, 0, 35, 0, 35, 1215, ontime
dyngrid, 0.97, 0.8060, SOLVE_M, 0.90, 0, 21, 0, 21, 920, ontime
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 1, 804, 5753, 21, 7659, ontime
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 2, 791, 4879, 21, 5848, ontime
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 2809, 10839, 1, 10122, timeout
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 2613, 8344, 5, 10124, timeout
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 4478, 10586, 11, 10138, timeout
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 8794, 14849, 39, 10124, timeout
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 485, 785, 20, 1775, ontime
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 9712, 13703, 122, 10123, timeout
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 3519, 4934, 56, 4693, ontime
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 3200, 3735, 126, 3032, ontime
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 17057, 19808, 585, 9230, ontime
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 1993, 2314, 80, 2454, ontime
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 86, 86, 86, 775, ontime
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 68, 68, 68, 987, ontime
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 111, 111, 111, 1025, ontime
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 50, 50, 50, 652, ontime
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 61, 61, 61, 823, ontime
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 76, 0, 76, 801, ontime
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 112, 0, 112, 1359, ontime
