scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.90, 0.82, SOLVE_F, 0.90, 0, 30, 0, 30, 430
dyngrid, 0.95, 0.81, SOLVE_F, 0.90, 0, 31, 0, 31, 489
dyngrid, 1.00, 0.80, SOLVE_F, 0.90, 0, 30, 0, 30, 442
dyngrid, 0.00, 1.00, SOLVE_F, 0.90, 0, 29, 435, 29, 1282
dyngrid, 0.05, 0.99, SOLVE_F, 0.90, 0, 29, 245, 29, 891
dyngrid, 0.10, 0.98, SOLVE_F, 0.90, 22, 7155, 5411999, 53, 8050
dyngrid, 0.15, 0.97, SOLVE_F, 0.90, 4, 462, 69046, 38, 1307
dyngrid, 0.20, 0.96, SOLVE_F, 0.90, 0, 29, 57, 29, 527
dyngrid, 0.25, 0.95, SOLVE_F, 0.90, 0, 29, 57, 29, 498
dyngrid, 0.30, 0.94, SOLVE_F, 0.90, 0, 110, 110, 110, 997
dyngrid, 0.35, 0.93, SOLVE_F, 0.90, 0, 95, 95, 95, 805
dyngrid, 0.40, 0.92, SOLVE_F, 0.90, 0, 29, 29, 29, 456
dyngrid, 0.45, 0.91, SOLVE_F, 0.90, 0, 29, 29, 29, 513
dyngrid, 0.50, 0.90, SOLVE_F, 0.90, 0, 75, 75, 75, 643
dyngrid, 0.55, 0.89, SOLVE_F, 0.90, 0, 66, 0, 66, 522
dyngrid, 0.60, 0.88, SOLVE_F, 0.90, 0, 29, 0, 29, 408
dyngrid, 0.65, 0.87, SOLVE_F, 0.90, 0, 29, 0, 29, 402
dyngrid, 0.70, 0.86, SOLVE_F, 0.90, 0, 37, 0, 37, 429
dyngrid, 0.75, 0.85, SOLVE_F, 0.90, 0, 29, 0, 29, 429
dyngrid, 0.85, 0.83, SOLVE_F, 0.90, 0, 33, 0, 33, 477
dyngrid, 1.00, 0.80, SOLVE_F, 0.90, 0, 45, 0, 45, 471
dyngrid, 0.00, 1.00, SOLVE_F, 0.90, 1, 48, 7571, 31, 955
dyngrid, 0.10, 0.98, SOLVE_F, 0.90, 0, 30, 140, 30, 739
