scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 19, 0, 19, 878, ontime, 19.0
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 49, 0, 49, 1578, ontime, 49.0
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 87, 0, 87, 2257, ontime, 87.0
dyngrid, 0.92, 0.8160, SOLVE_M, 0.90, 0, 41, 0, 41, 1548, ontime, 41.8
dyngrid, 0.97, 0.8060, SOLVE_M, 0.90, 0, 29, 0, 29, 902, ontime, 29.799999999999997
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 1, 5, 55, 21, 517, ontime, 22.6
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 1, 988, 6795, 24, 7562, ontime, 26.799999999999997
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 2868, 13640, 6, 10104, timeout, 6.4
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 4762, 14247, 6, 10105, timeout, 7.699999999999999
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 8174, 16428, 23, 10109, timeout, 24.599999999999998
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 7686, 14370, 24, 10126, timeout, 26.099999999999998
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 8362, 13944, 54, 10131, timeout, 59.09999999999999
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 4205, 5492, 59, 4228, ontime, 88.50000000000004
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 2070, 2833, 37, 2876, ontime, 41.199999999999996
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 2574, 3087, 144, 2894, ontime, 154.00000000000003
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 2911, 3395, 111, 3089, ontime, 116.00000000000003
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 2979, 3452, 111, 2999, ontime, 122.50000000000003
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 119, 119, 119, 1495, ontime, 119.0
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 226, 226, 226, 1780, ontime, 227.20000000000002
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 41, 41, 41, 631, ontime, 41.0
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 95, 95, 95, 1378, ontime, 95.0
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 81, 81, 81, 1548, ontime, 81.80000000000001
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 41, 0, 41, 1154, ontime, 42.6
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 27, 0, 27, 859, ontime, 27.799999999999997
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 92, 0, 92, 1353, ontime, 92.4
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 80, 0, 80, 1213, ontime, 81.20000000000002
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 49, 0, 49, 1669, ontime, 49.8
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 58, 0, 58, 1504, ontime, 58.4
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 48, 0, 48, 1905, ontime, 48.4
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 29, 0, 29, 1009, ontime, 29.799999999999997
dyngrid, 0.92, 0.8160, SOLVE_M, 0.90, 0, 72, 0, 72, 1709, ontime, 74.0
dyngrid, 0.97, 0.8060, SOLVE_M, 0.90, 0, 24, 0, 24, 825, ontime, 25.2
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 2, 653, 5278, 20, 5991, ontime, 25.199999999999992
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 1, 1116, 9850, 21, 9081, ontime, 26.599999999999994
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 2512, 11301, 1, 10117, timeout, 1.9
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 4094, 12456, 5, 10102, timeout, 5.4
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 6112, 14152, 15, 10107, timeout, 17.6
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 8266, 15475, 31, 10114, timeout, 33.99999999999999
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 10178, 16123, 55, 10113, timeout, 58.5
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 12872, 17602, 161, 8884, ontime, 174.30000000000007
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 12892, 17949, 161, 10100, timeout, 171.90000000000006
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 1811, 2117, 86, 1968, ontime, 94.30000000000003
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 2195, 2598, 107, 2376, ontime, 109.6
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 3421, 4012, 142, 3088, ontime, 149.70000000000002
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 21, 21, 21, 550, ontime, 22.599999999999998
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 233, 233, 233, 2242, ontime, 233.0
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 40, 40, 40, 1209, ontime, 40.4
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 41, 41, 41, 1111, ontime, 41.0
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 19, 19, 19, 1030, ontime, 20.599999999999998
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 97, 0, 97, 2293, ontime, 98.60000000000001
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 65, 0, 65, 2092, ontime, 65.0
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 60, 0, 60, 1849, ontime, 60.4
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 27, 0, 27, 1155, ontime, 27.799999999999997
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 60, 0, 60, 2441, ontime, 60.4
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 69, 0, 69, 2165, ontime, 69.8
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 41, 0, 41, 1752, ontime, 42.599999999999994
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 75, 0, 75, 3108, ontime, 75.8
dyngrid, 0.92, 0.8160, SOLVE_M, 0.90, 0, 22, 0, 22, 1327, ontime, 22.4
dyngrid, 0.97, 0.8060, SOLVE_M, 0.90, 0, 22, 0, 22, 1426, ontime, 22.4
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 1, 371, 2432, 19, 2915, ontime, 23.799999999999997
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 2311, 12252, 6, 10109, timeout, 6.0
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 4539, 14132, 6, 10104, timeout, 6.800000000000001
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 6824, 15943, 22, 10100, timeout, 22.0
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 10566, 18331, 36, 10098, timeout, 37.3
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 10413, 17338, 58, 10099, timeout, 61.89999999999999
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 1914, 2729, 44, 2437, ontime, 50.69999999999999
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 4381, 6021, 101, 3865, ontime, 114.30000000000004
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 3132, 3633, 116, 2599, ontime, 124.50000000000003
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 839, 977, 39, 1222, ontime, 41.6
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 19, 37, 19, 540, ontime, 20.6
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 19, 19, 19, 467, ontime, 20.599999999999998
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 69, 69, 69, 807, ontime, 69.80000000000001
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 69, 69, 69, 903, ontime, 69.0
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 67, 67, 67, 947, ontime, 67.8
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 42, 42, 42, 820, ontime, 43.199999999999996
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 234, 0, 234, 2155, ontime, 234.4
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 45, 0, 45, 802, ontime, 45.0
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 36, 0, 36, 725, ontime, 37.199999999999996
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 48, 0, 48, 603, ontime, 49.199999999999996
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 30, 0, 30, 825, ontime, 30.4
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 25, 0, 25, 873, ontime, 25.799999999999997
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 20, 0, 20, 624, ontime, 21.199999999999996
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 53, 0, 53, 720, ontime, 53.0
dyngrid, 0.92, 0.8160, SOLVE_M, 0.90, 0, 34, 0, 34, 1030, ontime, 34.4
dyngrid, 0.97, 0.8060, SOLVE_M, 0.90, 0, 31, 0, 31, 780, ontime, 31.799999999999997
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 1, 1236, 8696, 22, 7773, ontime, 27.199999999999992
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 1, 222, 1295, 20, 1939, ontime, 24.399999999999995
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 20, 182, 20, 740, ontime, 21.199999999999996
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 5317, 14855, 8, 10102, timeout, 8.4
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 7038, 16446, 22, 10104, timeout, 24.099999999999998
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 8955, 16727, 39, 10100, timeout, 42.699999999999996
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 21, 78, 21, 559, ontime, 22.599999999999998
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 5529, 7542, 73, 4553, ontime, 77.5
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 19, 54, 19, 511, ontime, 19.799999999999997
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 7482, 8635, 239, 4234, ontime, 250.50000000000009
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 4301, 4977, 159, 2878, ontime, 171.10000000000008
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 6064, 7000, 201, 4123, ontime, 212.50000000000009
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 205, 205, 205, 2521, ontime, 205.8
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 112, 112, 112, 1660, ontime, 112.4
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 38, 38, 38, 1014, ontime, 38.4
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 67, 67, 67, 1788, ontime, 67.80000000000001
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 126, 126, 126, 2468, ontime, 126.4
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 19, 0, 19, 751, ontime, 20.6
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 106, 0, 106, 3195, ontime, 106.4
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 19, 0, 19, 800, ontime, 19.799999999999997
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 53, 0, 53, 1897, ontime, 54.599999999999994
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 40, 0, 40, 1222, ontime, 40.4
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 33, 0, 33, 1045, ontime, 33.0
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 25, 0, 25, 1237, ontime, 25.799999999999997
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 56, 0, 56, 2297, ontime, 56.4
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 0, 271, 1668, 0, 10502, timeout, 0.0
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 3659, 4963, 54, 3981, ontime, 59.09999999999999
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 4450, 6427, 98, 5033, ontime, 107.00000000000003
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 291, 396, 50, 2803, ontime, 51.699999999999996
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 1291, 1521, 61, 3037, ontime, 65.99999999999999
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 9494, 10957, 300, 6579, ontime, 317.69999999999993
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 34, 34, 34, 751, ontime, 35.199999999999996
