scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 0, 5993, 11126, 38, 10170, timeout, 38.00
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 5861, 9417, 98, 8197, ontime, 104.40
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 0, 4135, 5596, 126, 4620, ontime, 141.80
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 0, 19, 54, 38, 702, ontime, 41.20
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 20, 39, 40, 561, ontime, 42.40
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 0, 4911, 5682, 352, 3927, ontime, 375.00
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 0, 1439, 1677, 134, 2067, ontime, 142.40
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 45, 45, 90, 851, ontime, 91.60
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 23, 23, 46, 638, ontime, 47.60
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 65, 65, 130, 889, ontime, 131.60
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 146, 146, 292, 1674, ontime, 292.80
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 194, 194, 388, 2507, ontime, 390.40
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 78, 0, 156, 935, ontime, 158.40
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 94, 0, 188, 2464, ontime, 188.80
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 24, 0, 48, 1030, ontime, 48.80
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 143, 0, 286, 3657, ontime, 286.00
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 37, 0, 74, 1758, ontime, 75.60
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 35, 0, 70, 1247, ontime, 71.60
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 23, 0, 46, 931, ontime, 49.20
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 73, 0, 146, 3458, ontime, 146.00
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 51, 0, 102, 1798, ontime, 103.60
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 19, 0, 38, 1300, ontime, 41.20
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 2, 1108, 7460, 0, 10156, timeout, 0.00
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 1, 767, 5557, 48, 7438, ontime, 56.80
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 1528, 8248, 2, 10160, timeout, 2.00
dyngrid, 0.06, 0.9880, SOLVE_P, 0.90, 0, 3392, 9749, 12, 10172, timeout, 12.00
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 0, 4768, 10064, 26, 10176, timeout, 26.80
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 0, 6094, 11379, 36, 10168, timeout, 37.60
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 7354, 12432, 82, 10163, timeout, 96.60
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 0, 10934, 14974, 234, 10166, timeout, 254.20
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 0, 7506, 10073, 342, 7004, ontime, 363.20
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 2060, 2415, 188, 2616, ontime, 203.40
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 0, 2469, 2858, 182, 2743, ontime, 188.40
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 0, 4952, 5794, 388, 4658, ontime, 425.00
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 93, 93, 186, 1886, ontime, 187.60
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 54, 54, 108, 1462, ontime, 108.80
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 72, 72, 144, 1949, ontime, 144.80
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 94, 94, 188, 2632, ontime, 188.80
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 125, 125, 250, 3148, ontime, 251.60
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 87, 0, 174, 2225, ontime, 174.00
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 21, 0, 42, 868, ontime, 43.60
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 98, 0, 196, 2923, ontime, 196.80
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 53, 0, 106, 1839, ontime, 107.60
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 23, 0, 46, 1092, ontime, 47.60
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 49, 0, 98, 2054, ontime, 101.20
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 59, 0, 118, 2634, ontime, 119.60
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 24, 0, 48, 1162, ontime, 52.00
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 66, 0, 132, 2975, ontime, 132.80
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 53, 0, 106, 2682, ontime, 106.00
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 0, 975, 7214, 0, 10181, timeout, 0.00
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 1, 527, 4256, 42, 5943, ontime, 51.60
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 2185, 9045, 2, 10172, timeout, 2.00
dyngrid, 0.06, 0.9880, SOLVE_P, 0.90, 0, 3171, 8259, 10, 89056, timeout, 10.00
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 0, 3093, 6430, 26, 10207, timeout, 26.80
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 0, 8322, 11350, 218, 6915, ontime, 247.80
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 6562, 7734, 538, 4699, ontime, 569.80
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 0, 7131, 8293, 518, 5052, ontime, 539.00
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 0, 728, 852, 80, 1275, ontime, 86.60
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 45, 45, 90, 718, ontime, 91.60
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 120, 120, 240, 1383, ontime, 242.40
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 151, 151, 302, 1787, ontime, 303.60
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 72, 72, 144, 1154, ontime, 144.80
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 87, 87, 174, 970, ontime, 174.00
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 91, 0, 182, 1721, ontime, 183.60
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 46, 0, 92, 1166, ontime, 94.40
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 37, 0, 74, 878, ontime, 75.60
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 44, 0, 88, 872, ontime, 88.80
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 40, 0, 80, 1080, ontime, 80.80
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 32, 0, 64, 1299, ontime, 66.40
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 23, 0, 46, 1098, ontime, 49.20
