scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.72, 0.8560, RANDOM, 0.90, 0, 52, 0, 52, 1517, ontime, 52.4
dyngrid, 0.77, 0.8460, RANDOM, 0.90, 0, 64, 0, 64, 1526, ontime, 64.4
dyngrid, 0.82, 0.8360, RANDOM, 0.90, 0, 56, 0, 56, 1700, ontime, 57.199999999999996
dyngrid, 0.87, 0.8260, RANDOM, 0.90, 0, 53, 0, 53, 1453, ontime, 55.39999999999999
dyngrid, 0.92, 0.8160, RANDOM, 0.90, 0, 45, 0, 45, 976, ontime, 45.0
dyngrid, 0.97, 0.8060, RANDOM, 0.90, 0, 22, 0, 22, 694, ontime, 24.799999999999994
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, RANDOM, 0.90, 0, 2133, 4978, 2131, 10114, timeout, 2336.0000000000173
dyngrid, 0.02, 0.9960, RANDOM, 0.90, 0, 20, 210, 20, 810, ontime, 21.999999999999996
dyngrid, 0.04, 0.9920, RANDOM, 0.90, 0, 59, 333, 59, 1259, ontime, 64.79999999999998
dyngrid, 0.06, 0.9880, RANDOM, 0.90, 0, 66, 229, 66, 1015, ontime, 70.6
dyngrid, 0.08, 0.9840, RANDOM, 0.90, 0, 42, 152, 42, 951, ontime, 45.59999999999999
dyngrid, 0.10, 0.9800, RANDOM, 0.90, 0, 478, 1177, 478, 2984, ontime, 522.6999999999991
dyngrid, 0.12, 0.9760, RANDOM, 0.90, 0, 26, 88, 26, 651, ontime, 27.999999999999993
dyngrid, 0.14, 0.9720, RANDOM, 0.90, 0, 193, 448, 193, 1939, ontime, 207.4000000000001
dyngrid, 0.16, 0.9680, RANDOM, 0.90, 0, 262, 598, 262, 2842, ontime, 289.50000000000006
dyngrid, 0.18, 0.9640, RANDOM, 0.90, 0, 158, 315, 158, 1869, ontime, 168.90000000000006
dyngrid, 0.20, 0.9600, RANDOM, 0.90, 0, 151, 301, 151, 1884, ontime, 160.00000000000009
dyngrid, 0.22, 0.9560, RANDOM, 0.90, 0, 110, 219, 110, 1645, ontime, 118.50000000000003
dyngrid, 0.27, 0.9460, RANDOM, 0.90, 0, 78, 78, 78, 1293, ontime, 78.4
dyngrid, 0.32, 0.9360, RANDOM, 0.90, 0, 135, 135, 135, 2306, ontime, 135.0
dyngrid, 0.37, 0.9260, RANDOM, 0.90, 0, 148, 148, 148, 1582, ontime, 149.20000000000002
dyngrid, 0.42, 0.9160, RANDOM, 0.90, 0, 68, 68, 68, 1007, ontime, 68.4
dyngrid, 0.47, 0.9060, RANDOM, 0.90, 0, 131, 131, 131, 2057, ontime, 131.8
dyngrid, 0.52, 0.8960, RANDOM, 0.90, 0, 33, 0, 33, 613, ontime, 34.599999999999994
dyngrid, 0.57, 0.8860, RANDOM, 0.90, 0, 79, 0, 79, 972, ontime, 79.0
dyngrid, 0.62, 0.8760, RANDOM, 0.90, 0, 41, 0, 41, 953, ontime, 41.8
dyngrid, 0.67, 0.8660, RANDOM, 0.90, 0, 126, 0, 126, 2547, ontime, 126.4
dyngrid, 0.72, 0.8560, RANDOM, 0.90, 0, 45, 0, 45, 1609, ontime, 45.8
dyngrid, 0.77, 0.8460, RANDOM, 0.90, 0, 27, 0, 27, 977, ontime, 27.0
dyngrid, 0.82, 0.8360, RANDOM, 0.90, 0, 26, 0, 26, 775, ontime, 27.199999999999996
dyngrid, 0.87, 0.8260, RANDOM, 0.90, 0, 39, 0, 39, 1008, ontime, 39.8
dyngrid, 0.92, 0.8160, RANDOM, 0.90, 0, 61, 0, 61, 1600, ontime, 61.8
dyngrid, 0.97, 0.8060, RANDOM, 0.90, 0, 24, 0, 24, 1214, ontime, 25.199999999999996
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
