scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.52, 0.8960, SOLVE_F, 0.90, 0, 19, 0, 38, 749, ontime, 39.60
dyngrid, 0.57, 0.8860, SOLVE_F, 0.90, 0, 129, 0, 258, 3147, ontime, 259.60
dyngrid, 0.62, 0.8760, SOLVE_F, 0.90, 0, 41, 0, 82, 1322, ontime, 82.00
dyngrid, 0.67, 0.8660, SOLVE_F, 0.90, 0, 38, 0, 76, 928, ontime, 78.40
dyngrid, 0.72, 0.8560, SOLVE_F, 0.90, 0, 37, 0, 74, 827, ontime, 74.00
dyngrid, 0.77, 0.8460, SOLVE_F, 0.90, 0, 45, 0, 90, 1816, ontime, 90.00
dyngrid, 0.82, 0.8360, SOLVE_F, 0.90, 0, 38, 0, 76, 1721, ontime, 80.00
dyngrid, 0.87, 0.8260, SOLVE_F, 0.90, 0, 91, 0, 182, 2343, ontime, 182.00
dyngrid, 0.92, 0.8160, SOLVE_F, 0.90, 0, 28, 0, 56, 1322, ontime, 58.40
dyngrid, 0.97, 0.8060, SOLVE_F, 0.90, 0, 19, 0, 38, 590, ontime, 39.60
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 0, 863, 10308, 0, 10120, timeout, 0.00
dyngrid, 0.02, 0.9960, SOLVE_F, 0.90, 1, 1712, 11704, 0, 10117, timeout, 0.00
dyngrid, 0.04, 0.9920, SOLVE_F, 0.90, 0, 4137, 13460, 6, 10186, timeout, 6.00
dyngrid, 0.06, 0.9880, SOLVE_F, 0.90, 0, 5450, 13914, 18, 10127, timeout, 20.60
dyngrid, 0.08, 0.9840, SOLVE_F, 0.90, 0, 7539, 15864, 40, 10127, timeout, 45.20
dyngrid, 0.10, 0.9800, SOLVE_F, 0.90, 0, 9529, 17130, 60, 10122, timeout, 71.20
dyngrid, 0.12, 0.9760, SOLVE_F, 0.90, 0, 11572, 17381, 168, 10168, timeout, 175.60
dyngrid, 0.14, 0.9720, SOLVE_F, 0.90, 0, 20, 57, 40, 700, ontime, 44.00
dyngrid, 0.16, 0.9680, SOLVE_F, 0.90, 0, 5761, 8083, 320, 4982, ontime, 340.80
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 0, 3760, 4399, 320, 3185, ontime, 347.40
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 0, 818, 977, 102, 1624, ontime, 112.00
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 0, 411, 497, 66, 1170, ontime, 71.80
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 42, 42, 84, 1198, ontime, 86.40
dyngrid, 0.32, 0.9360, SOLVE_F, 0.90, 0, 57, 57, 114, 1015, ontime, 114.00
dyngrid, 0.37, 0.9260, SOLVE_F, 0.90, 0, 225, 225, 450, 3154, ontime, 450.00
dyngrid, 0.42, 0.9160, SOLVE_F, 0.90, 0, 163, 163, 326, 2368, ontime, 327.60
dyngrid, 0.47, 0.9060, SOLVE_F, 0.90, 0, 94, 94, 188, 1890, ontime, 190.40
dyngrid, 0.52, 0.8960, SOLVE_F, 0.90, 0, 49, 0, 98, 1719, ontime, 101.20
dyngrid, 0.57, 0.8860, SOLVE_F, 0.90, 0, 19, 0, 38, 768, ontime, 38.00
dyngrid, 0.62, 0.8760, SOLVE_F, 0.90, 0, 49, 0, 98, 1777, ontime, 99.60
dyngrid, 0.67, 0.8660, SOLVE_F, 0.90, 0, 50, 0, 100, 1525, ontime, 102.40
dyngrid, 0.72, 0.8560, SOLVE_F, 0.90, 0, 23, 0, 46, 1038, ontime, 47.60
dyngrid, 0.77, 0.8460, SOLVE_F, 0.90, 0, 54, 0, 108, 2234, ontime, 110.40
dyngrid, 0.82, 0.8360, SOLVE_F, 0.90, 0, 47, 0, 94, 2248, ontime, 95.60
dyngrid, 0.87, 0.8260, SOLVE_F, 0.90, 0, 23, 0, 46, 1286, ontime, 47.60
dyngrid, 0.92, 0.8160, SOLVE_F, 0.90, 0, 21, 0, 42, 1008, ontime, 45.20
dyngrid, 0.97, 0.8060, SOLVE_F, 0.90, 0, 36, 0, 72, 2003, ontime, 72.80
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_F, 0.90, 2, 899, 5298, 40, 5898, ontime, 52.00
dyngrid, 0.02, 0.9960, SOLVE_F, 0.90, 1, 261, 1564, 48, 2264, ontime, 53.60
dyngrid, 0.04, 0.9920, SOLVE_F, 0.90, 0, 2855, 12304, 18, 10143, timeout, 18.80
dyngrid, 0.06, 0.9880, SOLVE_F, 0.90, 0, 5742, 14691, 16, 10123, timeout, 16.80
dyngrid, 0.08, 0.9840, SOLVE_F, 0.90, 0, 8592, 16937, 50, 10126, timeout, 50.80
dyngrid, 0.10, 0.9800, SOLVE_F, 0.90, 0, 11442, 18725, 108, 10127, timeout, 117.60
dyngrid, 0.12, 0.9760, SOLVE_F, 0.90, 0, 6008, 9179, 116, 5403, ontime, 121.00
dyngrid, 0.14, 0.9720, SOLVE_F, 0.90, 0, 14307, 18418, 362, 8024, ontime, 400.00
dyngrid, 0.16, 0.9680, SOLVE_F, 0.90, 0, 5152, 6686, 160, 3896, ontime, 167.20
dyngrid, 0.18, 0.9640, SOLVE_F, 0.90, 0, 2262, 2748, 294, 2610, ontime, 313.20
dyngrid, 0.20, 0.9600, SOLVE_F, 0.90, 0, 20, 39, 40, 600, ontime, 42.40
dyngrid, 0.22, 0.9560, SOLVE_F, 0.90, 0, 352, 438, 74, 1232, ontime, 78.80
dyngrid, 0.27, 0.9460, SOLVE_F, 0.90, 0, 181, 181, 362, 2038, ontime, 363.60
dyngrid, 0.32, 0.9360, SOLVE_F, 0.90, 0, 159, 159, 318, 1462, ontime, 318.00
dyngrid, 0.37, 0.9260, SOLVE_F, 0.90, 0, 87, 87, 174, 1980, ontime, 175.60
